일시,최저기온(°C),최고기온(°C),강수량,최대 풍속(m/s),최다풍향,평균 이슬점온도(°C),평균 상대습도(%),평균 현지기압(hPa),총거래금액(원)
2020-01-02,-4.8,4.0,3.328571429,8.0,290.0,-5.1,65.6,1002.4,2859000
2020-01-03,-1.9,5.3,3.971428571,7.2,290.0,-6.9,52.9,999.3,159041400
2020-01-04,-6.3,5.7,4.614285714,6.8,290.0,-6.5,61.4,999.0,140294100
2020-01-06,-4.6,3.7,5.9,2.7,320.0,-2.1,81.3,1002.0,459338400
2020-01-07,3.0,9.4,58.4,3.4,320.0,6.5,100.0,987.1,309839600
2020-01-08,2.8,12.7,2.1,10.5,320.0,1.8,80.0,986.7,496829500
2020-01-09,-1.0,2.9,1.909090909,7.9,290.0,-5.4,65.6,996.2,608880500
2020-01-10,-5.9,5.8,1.718181818,6.9,320.0,-5.5,69.4,996.8,761518300
2020-01-11,-4.7,4.8,1.527272727,7.7,290.0,-6.2,63.5,993.1,556426200
2020-01-13,-3.4,1.8,1.145454545,8.1,290.0,-9.0,55.5,995.4,794292100
2020-01-14,-6.2,3.6,0.954545455,6.1,290.0,-10.5,50.9,998.7,526723200
2020-01-15,-6.9,2.4,0.763636364,6.4,290.0,-11.4,47.5,1001.0,400385100
2020-01-16,-8.3,4.5,0.572727273,5.7,320.0,-10.7,56.1,999.8,550960300
2020-01-17,-7.0,6.9,0.381818182,2.8,320.0,-7.7,63.6,996.4,353309200
2020-01-18,-3.1,6.7,0.190909091,6.0,290.0,-8.1,55.1,994.5,316100800
2020-01-19,-1.8,5.4,0.0,6.8,320.0,-4.8,60.6,992.6,8690400
2020-01-20,-0.5,4.7,0.125,7.6,290.0,-6.3,55.8,995.3,374324500
2020-01-21,-7.6,4.9,0.25,7.1,290.0,-9.9,55.4,1003.5,191713200
2020-01-22,-3.1,4.5,0.375,2.6,320.0,-7.2,54.3,999.9,158652000
2020-01-23,0.3,9.0,0.5,2.5,160.0,0.9,84.3,997.5,64165000
2020-01-24,-1.7,10.2,0.525,3.3,160.0,0.0,84.9,1004.2,18000000
2020-01-28,-0.8,10.9,0.0,3.9,20.0,-0.1,68.9,991.7,6017500
2020-01-29,-3.3,9.1,0.1,2.4,340.0,-1.5,75.5,990.1,56447100
2020-01-30,-1.2,8.0,0.0,4.0,320.0,-1.5,75.3,989.4,41503000
2020-01-31,-1.5,6.8,0.05,5.3,290.0,-1.6,78.1,993.7,74705300
2020-02-01,-3.1,5.1,0.1,7.6,290.0,-3.3,64.8,997.8,23840800
2020-02-03,-2.1,4.0,0.2,7.1,290.0,-9.3,47.8,999.2,170363500
2020-02-04,-8.8,5.0,0.25,7.4,320.0,-9.1,54.4,999.3,68886200
2020-02-05,-8.3,1.0,0.3,9.8,290.0,-16.5,42.0,1002.2,62374600
2020-02-06,-13.3,2.9,3.2,6.3,320.0,-14.3,52.5,1006.2,50615300
2020-02-07,-9.8,3.0,6.1,8.5,290.0,-10.4,57.6,1001.6,73994000
2020-02-08,-1.1,4.2,9.0,6.3,290.0,-8.0,52.6,999.5,26433000
2020-02-10,-2.6,8.9,14.8,7.1,290.0,-5.5,54.3,997.6,64192700
2020-02-11,-6.6,12.1,17.7,3.0,320.0,-5.8,56.8,1002.3,99178000
2020-02-12,1.5,8.0,20.6,2.6,320.0,3.7,90.0,992.6,119196200
2020-02-13,1.8,13.2,0.3,7.1,290.0,4.0,75.0,992.6,57153800
2020-02-14,0.1,15.8,0.7,3.2,320.0,1.5,75.0,995.3,71698700
2020-02-15,1.6,14.5,1.1,3.3,320.0,4.6,80.4,994.0,8714000
2020-02-17,-6.5,-2.9,0.0,9.2,290.0,-10.4,63.9,989.7,71125500
2020-02-18,-8.6,1.5,0.025,8.1,290.0,-11.8,51.1,999.3,75954600
2020-02-19,-7.1,8.2,0.05,6.7,320.0,-7.3,55.3,1003.2,65471400
2020-02-20,-3.6,11.8,0.075,5.3,320.0,-4.3,61.0,1007.2,83241700
2020-02-21,-3.3,12.4,0.1,5.5,160.0,-2.2,62.0,1004.6,42334800
2020-02-22,0.9,8.5,2.6,10.3,290.0,-3.6,57.4,997.2,26849700
2020-02-24,-5.2,14.9,21.6,6.7,290.0,-8.2,45.5,998.6,77819000
2020-02-25,3.1,6.5,31.1,3.5,290.0,4.5,96.6,993.2,75617200
2020-02-26,1.4,10.6,0.0,3.6,160.0,2.9,83.6,997.4,68555200
2020-02-27,-1.2,7.7,0.5,2.9,340.0,-0.1,81.6,1002.9,76951100
2020-02-28,-1.8,3.0,2.2,2.2,320.0,0.7,94.8,998.4,90788500
2020-02-29,1.2,12.2,1.5,3.2,320.0,2.5,85.4,992.8,28023400
2020-03-02,1.4,8.6,0.1,7.9,290.0,-3.2,59.6,996.2,199376600
2020-03-03,-1.1,10.9,0.05,4.3,320.0,0.2,71.4,998.9,108207800
2020-03-04,-0.5,7.6,0.0,11.1,290.0,-5.1,56.4,994.2,139900900
2020-03-05,-2.4,7.2,0.0,7.3,290.0,-8.4,48.6,997.9,103736400
2020-03-06,-6.9,12.9,0.0,5.4,320.0,-9.1,51.3,996.3,71645900
2020-03-07,-2.2,10.5,0.0,2.8,320.0,-3.0,60.1,993.1,45190500
2020-03-09,-1.0,15.3,0.0,3.0,320.0,2.2,70.0,989.4,121769100
2020-03-10,4.8,9.6,4.6,7.9,290.0,5.2,85.4,980.6,96180700
2020-03-11,0.9,8.0,3.68,8.0,290.0,-6.5,48.8,990.7,51698400
2020-03-12,-4.2,14.7,2.76,6.6,290.0,-6.6,43.9,995.9,125395500
2020-03-13,2.5,12.5,1.84,8.3,290.0,-6.3,40.3,994.0,99068300
2020-03-14,-1.3,9.2,0.92,7.4,290.0,-8.6,39.5,988.8,47431400
2020-03-16,-0.4,10.5,0.05,6.4,320.0,-8.3,41.4,994.7,136584900
2020-03-17,1.7,9.7,0.1,9.1,290.0,-0.8,63.8,990.1,118855800
2020-03-18,-2.1,17.7,0.866666667,5.1,320.0,-2.2,52.5,988.6,137888100
2020-03-19,-0.5,15.4,1.633333333,11.2,290.0,-3.5,51.4,980.9,156130800
2020-03-20,4.3,15.6,2.4,10.9,290.0,-5.9,35.5,987.6,111390500
2020-03-21,3.1,22.7,3.166666667,8.5,270.0,1.2,42.5,985.9,28894200
2020-03-23,-0.5,16.5,4.7,8.2,290.0,-1.9,56.1,991.8,174559200
2020-03-24,-1.8,16.8,5.466666667,4.4,160.0,-1.5,56.5,995.5,154549700
2020-03-25,-0.5,19.4,6.233333333,3.5,140.0,0.1,55.4,995.7,140649900
2020-03-26,3.5,20.7,7.0,4.8,180.0,6.0,70.6,991.7,96176400
2020-03-27,7.5,16.7,4.3,8.5,290.0,9.1,83.0,987.2,120544400
2020-03-28,2.1,11.5,4.03125,6.6,320.0,-0.3,60.9,994.7,26751700
2020-03-30,0.6,17.1,3.49375,3.6,320.0,1.5,64.9,995.4,143109700
2020-03-31,0.0,19.5,3.225,3.9,320.0,0.4,52.9,991.9,85900000
2020-04-01,5.5,19.0,2.95625,7.6,290.0,-0.7,45.3,987.9,102993400
2020-04-02,0.0,17.1,2.6875,7.0,320.0,-5.8,39.9,995.6,147495500
2020-04-03,3.1,17.6,2.41875,6.7,290.0,-8.2,26.1,994.5,117806500
2020-04-04,0.7,15.3,2.15,9.2,320.0,-3.5,44.1,992.6,36356800
2020-04-06,-3.5,17.3,1.6125,6.1,320.0,-6.8,38.6,994.3,160423500
2020-04-07,4.5,18.1,1.34375,7.9,320.0,-1.5,39.0,989.4,156969500
2020-04-08,2.3,15.0,1.075,8.3,290.0,-6.9,37.0,991.7,158053100
2020-04-09,-1.1,15.4,0.80625,7.4,320.0,-2.9,54.6,996.4,139203200
2020-04-10,4.0,14.2,0.5375,3.1,320.0,-0.9,51.5,999.7,146756500
2020-04-11,1.9,14.3,0.26875,3.6,320.0,-0.7,51.6,993.8,53345700
2020-04-13,1.3,16.5,2.06,6.8,340.0,-4.9,41.1,988.1,159339700
2020-04-14,-2.3,21.0,4.12,8.2,320.0,-7.4,33.9,990.6,190790000
2020-04-15,2.2,21.4,6.18,7.5,140.0,-2.3,38.4,989.3,135837600
2020-04-16,3.6,20.0,8.24,3.9,320.0,2.9,58.5,994.2,153606700
2020-04-17,6.6,11.9,10.3,2.8,320.0,6.9,87.9,989.8,80863900
2020-04-18,5.3,16.7,1.0,7.0,320.0,6.0,72.5,990.6,16251800
2020-04-20,8.0,15.5,0.0,9.7,290.0,5.1,71.0,984.7,134791800
2020-04-21,3.7,12.8,0.0,11.3,290.0,-3.9,46.0,987.3,170202100
2020-04-22,3.5,9.5,0.0,11.1,290.0,-5.2,45.1,988.9,141843800
2020-04-23,3.6,13.4,0.0,9.9,290.0,-4.9,43.0,989.3,195299600
2020-04-24,4.3,16.3,0.0,8.7,320.0,-4.4,41.0,988.3,173709000
2020-04-25,0.7,22.5,0.0,6.9,320.0,0.6,49.0,985.0,41406400
2020-04-27,2.1,17.2,0.0,7.5,320.0,0.8,58.9,994.5,156114500
2020-04-28,1.2,20.2,0.0,8.3,320.0,-1.1,46.8,994.2,164725300
2020-04-29,6.3,23.5,0.0,7.1,290.0,1.7,41.1,993.7,175154500
2020-04-30,8.7,25.3,0.0,6.7,320.0,4.9,42.1,990.6,107013100
2020-05-01,12.1,30.0,0.0,5.7,320.0,12.2,57.8,988.1,80378300
2020-05-02,19.5,26.4,0.0,7.7,320.0,14.8,63.1,986.5,8922600
2020-05-04,13.0,26.5,3.65,6.3,290.0,13.5,73.5,983.6,137516500
2020-05-05,10.2,19.6,2.5,3.0,320.0,11.4,81.9,987.8,153449900
2020-05-06,7.9,26.0,2.5,5.3,160.0,8.2,68.1,990.1,104321100
2020-05-07,5.6,23.0,2.5,4.6,160.0,3.0,52.8,994.9,186975700
2020-05-08,6.8,23.2,2.5,4.5,160.0,4.9,51.3,991.4,99868700
2020-05-09,13.3,15.3,57.2,2.0,110.0,14.4,99.3,982.7,33241500
2020-05-11,11.2,23.6,0.0,9.3,320.0,7.2,52.9,982.4,61520500
2020-05-12,12.7,22.0,0.2,7.5,290.0,6.7,54.6,979.8,52775600
2020-05-13,10.8,22.4,11.63333333,9.5,290.0,3.4,44.6,990.1,96451300
2020-05-14,6.9,25.0,23.06666667,3.6,320.0,6.7,53.8,992.2,83671600
2020-05-15,12.6,16.3,34.5,3.0,320.0,11.9,89.1,987.1,99947400
2020-05-16,13.0,23.6,33.2,4.0,290.0,14.5,83.1,982.1,2070400
2020-05-18,15.1,22.4,30.6,4.6,160.0,14.6,82.8,976.8,33297700
2020-05-19,9.3,16.4,12.8,6.6,290.0,8.4,75.8,974.9,85373200
2020-05-20,7.9,16.6,8.533333333,4.7,320.0,6.5,71.5,986.3,96081300
2020-05-21,5.9,21.2,4.266666667,3.6,160.0,8.6,72.5,990.9,131264500
2020-05-22,11.5,21.8,0.0,2.4,160.0,11.1,75.8,990.1,142247400
2020-05-23,10.6,24.9,0.95,3.5,320.0,11.1,71.9,987.7,24208700
2020-05-25,11.4,22.9,0.95,5.6,290.0,12.1,70.8,986.6,201920400
2020-05-26,12.5,25.5,0.0,5.8,320.0,12.0,67.9,983.7,46806300
2020-05-27,13.7,24.7,0.0,6.2,290.0,8.9,55.3,983.7,99617800
2020-05-28,10.5,24.4,0.0,3.9,140.0,9.2,62.0,985.0,120913100
2020-05-29,10.0,26.6,0.0,6.4,320.0,10.7,67.5,990.8,83292400
2020-05-30,10.4,27.6,0.0,2.9,320.0,10.0,60.6,992.9,12876500
2020-06-01,17.5,25.1,0.0,8.2,320.0,9.6,52.4,984.5,94080200
2020-06-02,11.7,24.7,1.266666667,5.2,160.0,9.1,54.6,983.5,99009000
2020-06-03,16.1,27.8,2.533333333,5.2,290.0,15.1,68.8,979.5,65486500
2020-06-04,15.2,31.0,3.8,5.4,320.0,15.9,63.4,979.6,139003100
2020-06-05,19.0,31.0,5.066666667,5.1,290.0,14.6,57.0,982.8,161227500
2020-06-06,15.2,27.9,6.333333333,4.2,320.0,12.8,62.8,986.0,25685000
2020-06-08,16.5,32.0,8.866666667,3.4,140.0,17.6,65.6,990.0,106818600
2020-06-09,18.2,33.5,10.13333333,4.4,140.0,18.2,63.8,989.7,42904700
2020-06-10,18.6,32.7,11.4,3.9,160.0,18.1,69.1,985.1,55235200
2020-06-11,19.4,30.4,15.2,3.5,270.0,20.3,77.9,979.4,98496800
2020-06-12,18.2,27.7,3.2,3.1,290.0,20.2,86.0,981.5,88660700
2020-06-13,18.2,30.0,0.1,3.6,160.0,18.4,74.5,981.2,6150900
2020-06-15,16.1,27.4,4.416666667,5.9,290.0,14.5,61.8,981.7,164610300
2020-06-16,16.7,28.7,3.733333333,5.2,320.0,14.2,60.6,982.2,110226700
2020-06-17,14.4,28.0,3.05,4.2,160.0,15.6,71.0,981.7,116109200
2020-06-18,17.5,22.4,2.366666667,4.8,140.0,16.0,77.4,979.7,133553400
2020-06-19,16.5,28.2,1.683333333,2.5,140.0,15.8,73.8,982.5,54766100
2020-06-22,16.0,32.7,6.35,3.1,340.0,17.3,68.9,984.6,127504200
2020-06-23,17.6,32.0,9.025,3.2,320.0,17.0,65.8,985.4,68916700
2020-06-24,18.1,23.5,11.7,2.7,320.0,17.0,81.1,982.4,95005400
2020-06-25,18.1,22.2,1.5,2.5,290.0,19.6,95.4,978.7,53676600
2020-06-26,18.9,26.2,0.75,6.9,320.0,17.6,79.5,981.9,56218700
2020-06-27,18.7,27.3,0.0,4.6,160.0,18.3,78.5,981.3,1620000
2020-06-29,16.7,25.1,43.1,3.4,110.0,18.4,86.0,979.9,99457200
2020-06-30,17.8,23.1,50.0,4.2,290.0,18.3,89.5,968.2,15145400
2020-07-01,15.3,21.8,4.5,6.0,320.0,15.6,82.8,980.4,46220700
2020-07-02,13.5,27.9,2.25,3.3,140.0,15.8,73.4,987.5,49116700
2020-07-03,16.3,23.4,0.0,2.6,290.0,16.2,81.3,987.8,31252400
2020-07-04,16.3,26.4,1.0,2.7,160.0,16.8,78.9,983.2,15285000
2020-07-06,16.5,28.0,2.2,3.0,180.0,18.9,82.4,977.9,47321800
2020-07-07,20.4,27.7,6.125,5.9,320.0,19.3,78.0,979.7,51318100
2020-07-08,18.7,30.0,10.05,4.3,160.0,18.7,74.0,980.8,87000900
2020-07-09,19.3,30.4,13.975,4.6,160.0,19.0,72.1,981.5,48928600
2020-07-10,20.6,28.5,17.9,3.2,290.0,20.9,86.6,978.5,95253600
2020-07-13,16.4,19.0,92.9,2.4,290.0,17.1,97.4,981.2,53422300
2020-07-14,17.1,21.9,1.2,2.1,140.0,17.5,91.8,979.3,119132200
2020-07-15,17.0,23.2,3.8,1.7,180.0,17.3,89.9,982.0,85602500
2020-07-16,17.7,28.0,2.9,2.9,160.0,18.5,82.5,983.2,74987400
2020-07-17,17.8,29.0,2.0,2.8,160.0,18.5,82.9,985.2,222354900
2020-07-18,16.3,27.1,1.1,2.7,320.0,17.8,81.6,986.1,19662900
2020-07-20,21.9,29.0,17.0,7.0,320.0,21.3,83.8,982.5,220033400
2020-07-21,20.5,29.9,24.65,7.9,320.0,20.1,76.1,987.6,119175300
2020-07-22,20.8,23.0,32.3,1.9,320.0,21.2,96.5,986.7,104141500
2020-07-23,18.0,21.1,91.9,3.8,140.0,19.4,98.1,984.7,51341500
2020-07-24,17.8,22.4,37.9,3.6,320.0,19.3,98.4,975.4,87631900
2020-07-25,19.1,25.1,3.3,3.6,320.0,20.2,92.5,979.0,44978000
2020-07-27,20.2,24.9,2.3,2.8,160.0,20.8,93.4,985.6,303540300
2020-07-28,20.0,23.4,12.0,2.1,290.0,20.9,96.9,987.6,191635100
2020-07-29,20.1,22.7,60.4,2.3,320.0,21.3,98.6,989.6,169207600
2020-07-30,20.2,23.7,51.6,4.6,160.0,21.5,98.9,990.3,181049800
2020-07-31,20.2,30.0,0.0,5.0,290.0,21.9,85.0,989.8,116813700
2020-08-01,22.1,29.7,6.8,3.1,160.0,22.8,89.1,987.6,141853200
2020-08-03,21.5,27.2,5.2,6.0,290.0,22.7,95.5,985.7,296878000
2020-08-04,21.0,30.3,34.1,3.9,180.0,22.8,91.9,988.5,372307300
2020-08-05,21.9,27.2,15.1,2.0,50.0,23.6,97.1,989.4,281979200
2020-08-06,20.7,28.3,33.2,5.2,140.0,22.7,91.8,982.6,199235300
2020-08-07,19.8,23.5,8.2,2.7,140.0,20.9,97.1,983.7,153483800
2020-08-08,20.2,23.0,26.0,1.7,290.0,21.5,99.9,980.9,88098800
2020-08-10,22.2,26.7,48.3,3.6,160.0,23.5,98.3,981.4,199545300
2020-08-11,22.3,26.8,62.2,4.0,140.0,22.9,95.9,986.2,195728500
2020-08-12,21.8,29.6,0.5,3.2,160.0,24.1,94.9,989.1,99014500
2020-08-13,22.7,31.7,1.666666667,2.9,160.0,23.9,86.6,986.3,327878000
2020-08-14,22.9,31.9,2.833333333,3.7,50.0,24.0,82.9,982.5,366198100
2020-08-15,23.0,31.7,4.0,5.4,70.0,23.9,88.0,985.1,260472800
2020-08-17,22.0,32.6,4.457142857,5.4,290.0,21.8,74.0,989.6,428874100
2020-08-18,20.6,32.4,4.685714286,4.7,290.0,21.7,80.3,988.8,386020300
2020-08-19,20.1,32.9,4.914285714,6.4,160.0,20.9,75.9,987.0,556772300
2020-08-20,20.2,32.8,5.142857143,4.1,140.0,22.6,83.5,988.6,296479800
2020-08-21,21.7,31.1,5.371428571,3.6,180.0,22.5,80.6,990.6,388627800
2020-08-22,21.6,27.0,5.6,4.3,340.0,21.8,86.4,989.2,213986800
2020-08-24,19.5,30.8,2.766666667,3.1,160.0,21.2,80.9,982.5,594287400
2020-08-25,21.5,33.0,3.633333333,3.2,320.0,22.9,82.1,982.5,317963200
2020-08-26,23.4,31.5,4.5,6.6,110.0,23.3,82.9,981.5,401716500
2020-08-27,23.7,29.2,14.2,3.9,50.0,24.5,94.9,980.6,384932900
2020-08-28,23.4,31.5,16.4,3.4,50.0,24.4,88.6,984.3,300687800
2020-08-29,23.4,30.9,22.2,2.7,320.0,24.2,91.4,986.2,253539700
2020-08-31,20.0,27.5,0.3,3.1,290.0,21.4,90.0,990.0,512375100
2020-09-01,19.2,27.3,0.0,2.3,320.0,20.7,87.4,986.9,457320100
2020-09-02,22.3,25.1,15.1,3.1,320.0,22.9,96.4,979.3,617540000
2020-09-03,17.5,26.3,29.8,10.9,270.0,18.2,77.1,971.5,437990800
2020-09-04,15.1,27.4,14.95,4.5,320.0,16.2,79.5,989.0,379700800
2020-09-05,16.6,23.7,0.1,2.4,290.0,17.2,88.5,990.7,408392200
2020-09-07,18.1,24.4,35.8,9.8,340.0,17.5,80.0,966.3,537525900
2020-09-08,15.6,26.7,0.0,5.7,250.0,16.2,73.6,985.4,519949200
2020-09-09,15.6,25.9,1.3,3.5,320.0,17.2,85.3,986.4,493849300
2020-09-10,15.4,24.8,0.1,2.7,160.0,17.5,89.6,986.0,479743100
2020-09-11,16.7,23.7,0.2,2.6,320.0,16.8,84.1,991.1,607943700
2020-09-12,16.2,23.4,8.6,3.0,290.0,16.6,88.0,990.8,317229300
2020-09-14,15.1,25.2,2.866666667,5.5,320.0,15.6,81.4,990.2,880151900
2020-09-15,15.0,26.5,0.0,2.6,160.0,16.3,81.8,989.4,610498600
2020-09-16,18.3,23.7,2.2,2.8,160.0,18.1,91.3,986.6,663438400
2020-09-17,16.7,22.4,0.0,3.7,290.0,17.3,88.5,986.1,698055500
2020-09-18,12.9,23.1,0.35,5.9,290.0,12.8,68.1,988.6,837060500
2020-09-19,12.0,22.9,0.7,4.7,320.0,13.5,84.9,991.1,680776200
2020-09-21,7.8,22.4,0.592307692,2.8,320.0,10.3,76.8,994.4,1383060300
2020-09-22,11.0,22.6,0.538461538,2.9,320.0,11.4,78.1,995.0,1283876300
2020-09-23,9.6,22.5,0.484615385,3.7,320.0,11.6,79.4,993.9,1499909300
2020-09-24,12.1,23.3,0.430769231,3.0,320.0,12.4,76.1,990.9,1328713700
2020-09-25,12.0,24.3,0.376923077,4.4,20.0,12.1,74.9,988.6,1222343500
2020-09-26,11.0,23.8,0.323076923,4.2,20.0,12.0,77.0,991.8,994271400
2020-09-27,10.3,23.7,0.269230769,2.8,320.0,11.8,80.6,994.6,16184000
2020-09-28,8.1,23.5,0.215384615,2.9,320.0,11.1,81.4,993.1,901140000
2020-09-29,8.6,23.9,0.161538462,3.1,320.0,11.7,79.5,987.4,137970800
2020-09-30,10.8,23.2,0.107692308,2.5,320.0,12.1,78.0,986.9,18037000
2020-10-05,7.5,17.3,0.0857142857,6.9,290.0,3.8,57.4,992.3,298153400
2020-10-06,3.7,19.9,0.0714285714,4.9,320.0,5.1,70.3,997.0,402672800
2020-10-07,8.1,21.1,0.0571428571,4.3,320.0,8.9,75.0,1001.5,483869800
2020-10-08,7.0,21.1,0.0428571429,5.1,340.0,6.3,68.9,1002.6,616584100
2020-10-09,7.3,21.6,0.0285714286,4.8,340.0,7.9,71.9,999.3,707361400
2020-10-10,6.2,21.3,0.0142857143,3.0,320.0,9.1,75.8,995.4,486069800
2020-10-12,10.2,21.4,0.0,5.9,290.0,10.8,79.6,990.2,899921700
2020-10-13,6.8,18.2,0.0,6.1,290.0,6.2,70.4,995.2,361647000
2020-10-14,5.3,17.7,0.0,5.9,320.0,5.4,72.4,999.3,515917100
2020-10-15,3.2,18.8,0.0,4.4,140.0,2.0,60.1,1000.1,515211800
2020-10-16,3.4,16.4,0.0,2.2,140.0,5.9,77.0,998.6,233546700
2020-10-17,4.2,19.0,0.0,5.9,290.0,4.9,72.5,997.9,270756200
2020-10-19,2.5,20.7,0.0,3.6,140.0,5.0,73.1,1000.1,644357400
2020-10-20,3.3,21.3,0.0,3.0,290.0,5.2,74.1,1001.5,481660900
2020-10-21,5.1,16.1,0.0,2.9,320.0,8.1,87.4,995.4,443351800
2020-10-22,4.7,18.0,0.181818182,7.8,320.0,6.9,79.0,988.5,438560300
2020-10-23,6.2,13.5,0.363636364,6.8,290.0,-1.2,49.8,988.3,433559900
2020-10-24,4.5,12.6,0.545454545,8.0,290.0,-3.7,42.4,991.7,284710200
2020-10-26,0.6,19.3,0.909090909,4.8,320.0,3.3,67.3,994.8,496935400
2020-10-27,2.1,19.7,1.090909091,4.5,290.0,5.4,71.9,995.9,411523200
